Series_Title,IMDB_Rating,Genre,Released_Year,No_of_Votes
The Godfather,9.2,"Crime, Drama",1972,1620367
The Dark Knight,9.0,"Action, Crime, Drama",2008,2303232
The Godfather: Part II,9.0,"Crime, Drama",1974,1129952
12 Angry Men,9.0,"Crime, Drama",1957,689845
The Lord of the Rings: The Return of the King,8.9,"Action, Adventure, Drama",2003,1642758
Pulp Fiction,8.9,"Crime, Drama",1994,1826188
Schindler's List,8.9,"Biography, Drama, History",1993,1213505
Inception,8.8,"Action, Adventure, Sci-Fi",2010,2067042
Fight Club,8.8,Drama,1999,1854740
The Lord of the Rings: The Fellowship of the Ring,8.8,"Action, Adventure, Drama",2001,1661481
Forrest Gump,8.8,"Drama, Romance",1994,1809221
"Il buono, il brutto, il cattivo",8.8,Western,1966,688390
The Lord of the Rings: The Two Towers,8.7,"Action, Adventure, Drama",2002,1485555
The Matrix,8.7,"Action, Sci-Fi",1999,1676426
Goodfellas,8.7,"Biography, Crime, Drama",1990,1020727
Star Wars: Episode V - The Empire Strikes Back,8.7,"Action, Adventure, Fantasy",1980,1159315
One Flew Over the Cuckoo's Nest,8.7,Drama,1975,918088
Hamilton,8.6,"Biography, Drama, History",2020,55291
Gisaengchung,8.6,"Comedy, Drama, Thriller",2019,552778
Soorarai Pottru,8.6,Drama,2020,54995
